SEXO,IDADE,IDFAIXA,INSTRUÇÃO,EST_CIVIL,pea,RENDFA,RENDFX,RENDIND,RENDINDFX,cid1,cid2,cid3,cid4,cid5,cid6,cid7,cid8,cid9a,cid9b,cid9c,cid10a,cid10b,cid10c,cid10d,cid10e,cid10f,cid10g,cid11,cid12,cid13_1,cid13_2,cid13_3,cid13_4,cid13_5,cid13_6,cid13ot1,cid14a,cid14b,cid14c,cid14d,dem1,dem3,dem4a,dem4b,dem4c,dem4d,dem4e,dem4f,dem4g,dem5_1,dem5_2,dem5_3,dem5_4,dem5_5,dem5_6,dem5_7,dem5_8,dem5_9,dem5_10,dem5_11,dem6,dem7,dem8a,dem9a,dem9b,dem9c,dem9d,dem9e,dem9f,dem9g,dem10,inf1,inf2a,inf2b,inf3a,inf3b,inf4,inf4a,inf4a1,inf4a2,inf4a3,inf4a4,conf1,conf2a,conf2b,conf2c,conf2d,conf2e,conf2f,conf4a,conf4b,conf4c,conf4d,conf4e,conf4f,conf4g,conf4h,conf4i,conf4j,conf4k,conf4l,conf4m,conf5a,conf5b,conf5c,conf6a,conf6b,conf6c,conf6d,conf6e,conf6f,conf6g,conf6h,conf6_a,conf7,conf8_1,conf8_2,conf8_3,conf8ot1,conf8ot2,conf9_1,conf9_2,conf9_3,conf9_4,conf9_5,conf9_6,conf9_7,conf9_8,conf10,conf11_1,conf11_2,conf11_3,conf12_1,conf12_2,conf12_3,conf12_4,conf12_5,conf12_6,conf12_7,conf13_1,conf13_2,conf13_3,conf13_4,conf13_5,conf13_6,conf13_7,conf13_8,conf13_9,conf13_0,conf14,conf15,conf16,conf17,conf18,conf19,conf20,est2,part1a,part1b,part1c,part1d,part1e,part1f,part1g,part1h,part1i,part2a,part2b,part2c,part2d,part2e,part2f,part2g,part3a,part3b,part3c,part3cot,part3d,part3e,part3f,part3fot,part3g,part3h,part3i,part3j,part3k,part3l,part3m,part3mot,part4,part5,part6,part7a,part7b,part8,part9,part10a,part10b,part10c,part11,part12,part13,part15,memo1,memo2,memo3,memo4,memo5,memo6,memo7,memo8,memo9,memo10,memo11,memo12,dem2,part16,part17a,part17b,part17c,part18,avse1,avse2,avse3,avse4,avse5,avse6,serv1_1,serv1_2,serv1_3,serv1_4,serv1_6,serv1_7,serv1_8,serv1_9,serv2_1,serv2_2,serv2_3,serv2_1a,serv2_2a,serv2_3a,serv3_1,serv3_2,serv3_3,serv3_4,serv3_5,serv3_6,corrup1,corrup2,corrup3a,corrup3b,corrup3c,corrup3d,corrup3e,corrup4,p5iia,p5xiia,p5ixa,p5iib,p5xiib,p5ixb,p5iic,p5xiic,p5ixc,p5iid,p5iie,p5xiid,p5xiie,p5ixd,p5ixe,aval1_1,aval1_2,aval1_3,aval1_4,aval1_5,aval1_6,aval1_7,aval1_8,aval1_9,aval1_10,aval1_11,aval1_12,aval1_13,aval2,est1a,est1b,est1c,est1d,est1e,est1f,est1g,est1h,est1i,est1j,id1,id5,se2,se4,se5,se6,se8,REGIAO,ESTADO,AREA,CIDADE,PESO_AM,ponto,entre,quest
1.0,34.0,2.0,3.0,2.0,1.0,390.0,,300.0,,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,73.0,1.0,85.0,15.0,27.0,,,,,,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,7.0,1.0,3.0,1.0,24.0,19.0,20.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,77.0,77.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,,,,,,2.0,1.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,7.0,7.0,1.0,1.0,7.0,2.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,14.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,7.0,8.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,4.0,4.0,,,,5.0,77.0,,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,77.0,1.0,77.0,3.0,1.0,77.0,77.0,77.0,1.0,2.0,16.0,,,2.0,3.0,1.0,3.0,2.0,2.0,3.0,77.0,2.0,3.0,3.0,5.0,77.0,4.0,77.0,2.0,1.0,2.0,0.0,,5.0,4.0,2.0,2.0,88.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,77.0,77.0,77.0,77.0,77.0,2.0,77.0,77.0,2.0,2.0,2.0,2.0,77.0,1.0,1.0,77.0,77.0,4.0,1.0,1.0,4.0,4.0,4.0,112.0,3.0,7.0,5.0,2.0,2.0,8.0,1.0,12.0,3.0,22.0,0.973,48.0,3.0,287.0
2.0,39.0,3.0,2.0,2.0,3.0,,2.0,,9.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,13.0,6.0,83.0,30.0,39.0,3.0,23.0,,,,3.0,2.0,,,,,,,,1.0,2.0,1.0,5.0,3.0,1.0,44.0,71.0,,,,,,1.0,2.0,1.0,3.0,1.0,3.0,7.0,7.0,1.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,3.0,5.0,,,,,,2.0,2.0,3.0,2.0,7.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,7.0,4.0,2.0,1.0,4.0,1.0,9.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,5.0,6.0,6.0,2.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,4.0,,,,77.0,77.0,,,2.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,88.0,1.0,77.0,3.0,2.0,88.0,1.0,1.0,,,,1.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,77.0,4.0,3.0,2.0,1.0,2.0,5.0,,6.0,2.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,3.0,2.0,77.0,77.0,5.0,2.0,2.0,77.0,5.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,4.0,2.0,150.0,3.0,2.0,,,,4.0,2.0,3.0,3.0,48.0,1.02,105.0,3.0,625.0
1.0,24.0,1.0,5.0,1.0,3.0,,4.0,,9.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,6.0,1.0,83.0,15.0,64.0,,,,,,3.0,2.0,,,,,,,,1.0,2.0,4.0,1.0,3.0,2.0,44.0,24.0,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,7.0,7.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,5.0,,,,,,2.0,2.0,4.0,2.0,8.0,4.0,4.0,1.0,7.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,2.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,3.0,66.0,,,2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,,,,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,77.0,3.0,2.0,2.0,88.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,114.0,3.0,2.0,,,,5.0,1.0,12.0,3.0,22.0,0.973,47.0,3.0,279.0
1.0,25.0,2.0,3.0,2.0,1.0,700.0,,250.0,,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,6.0,81.0,82.0,38.0,57.0,17.0,,,,,2.0,2.0,,,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,40.0,73.0,,,,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,,,,,,2.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,10.0,10.0,1.0,9.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,4.0,,,,5.0,2.0,5.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,124.0,5.0,7.0,5.0,1.0,2.0,6.0,2.0,14.0,3.0,42.0,1.02,93.0,5.0,553.0
2.0,47.0,4.0,1.0,2.0,1.0,980.0,,450.0,,1.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,75.0,19.0,79.0,91.0,15.0,86.0,,,,,3.0,2.0,,,,,,,,1.0,1.0,2.0,2.0,4.0,2.0,9.0,45.0,21.0,30.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,,,,,,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,8.0,12.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,8.0,,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,189.0,1.0,7.0,2.0,3.0,1.0,4.0,4.0,19.0,1.0,125.0,1.078,292.0,1.0,1750.0
2.0,37.0,3.0,1.0,2.0,5.0,,2.0,,9.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,21.0,72.0,11.0,10.0,,,,,,4.0,2.0,,,,,,,,1.0,1.0,1.0,3.0,4.0,3.0,21.0,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,4.0,,,,3.0,2.0,3.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,,,2.0,2.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,8.0,,7.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,125.0,3.0,7.0,,,,4.0,2.0,13.0,3.0,41.0,1.02,91.0,3.0,545.0
1.0,34.0,2.0,5.0,2.0,1.0,700.0,,700.0,,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,22.0,18.0,69.0,11.0,47.0,53.0,,,,,3.0,2.0,,,,,,,,3.0,1.0,1.0,1.0,3.0,1.0,37.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,6.0,,,,,,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,1.0,3.0,7.0,1.0,4.0,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,22.0,,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,186.0,1.0,7.0,2.0,3.0,1.0,4.0,3.0,9.0,3.0,115.0,1.009,269.0,1.0,1611.0
1.0,41.0,3.0,6.0,2.0,1.0,4500.0,,3000.0,,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,20.0,6.0,69.0,15.0,11.0,,,,,,3.0,2.0,,,,,,,,1.0,4.0,4.0,4.0,3.0,1.0,24.0,16.0,9.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,6.0,1.0,2.0,1.0,1.0,6.0,,,,,,2.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,7.0,8.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,3.0,2.0,,2.0,4.0,1.0,,,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,77.0,1.0,1.0,2.0,,,8.0,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,7.0,1.0,7.0,5.0,2.0,2.0,4.0,3.0,22.0,2.0,80.0,0.957,199.0,1.0,1192.0
2.0,20.0,1.0,1.0,1.0,1.0,360.0,,360.0,,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,10.0,3.0,69.0,94.0,,,,,,,2.0,2.0,,,,,,,,2.0,3.0,3.0,2.0,3.0,2.0,22.0,,,,,,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,,4.0,3.0,7.0,2.0,,,,,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,3.0,4.0,,,,2.0,16.0,,,2.0,1.0,1.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,173.0,2.0,2.0,5.0,3.0,1.0,2.0,4.0,19.0,3.0,131.0,0.998,304.0,2.0,1821.0
1.0,33.0,2.0,3.0,2.0,1.0,250.0,,250.0,,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,38.0,6.0,,77.0,,,,,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,77.0,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,,,,,,2.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,4.0,,,,77.0,6.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,77.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,5.0,,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,98.0,1.0,7.0,5.0,3.0,2.0,3.0,1.0,11.0,3.0,10.0,0.973,23.0,1.0,136.0
2.0,32.0,2.0,7.0,1.0,2.0,800.0,,,9.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,65.0,15.0,5.0,,,,,,2.0,2.0,,,,,,,,4.0,1.0,1.0,4.0,4.0,1.0,21.0,,,,,,,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,1.0,5.0,,4.0,4.0,6.0,,,,,,2.0,4.0,2.0,2.0,1.0,1.0,8.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,,,1.0,1.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,8.0,8.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,4.0,4.0,,,,3.0,1.0,2.0,,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,6.0,,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,26.0,1.0,12.0,88.0,88.0,88.0,3.0,2.0,13.0,1.0,24.0,0.908,53.0,1.0,314.0
